Month,google
2016-01,74
2016-02,78
2016-03,77
2016-04,74
2016-05,73
2016-06,61
2016-07,53
2016-08,62
2016-09,80
2016-10,79
2016-11,78
2016-12,71
2017-01,73
2017-02,77
2017-03,75
2017-04,73
2017-05,73
2017-06,58
2017-07,50
2017-08,59
2017-09,79
2017-10,82
2017-11,73
2017-12,68
2018-01,72
2018-02,75
2018-03,72
2018-04,69
2018-05,71
2018-06,52
2018-07,45
2018-08,57
2018-09,75
2018-10,76
2018-11,72
2018-12,65
2019-01,67
2019-02,69
2019-03,66
2019-04,69
2019-05,68
2019-06,50
2019-07,46
2019-08,57
2019-09,75
2019-10,78
2019-11,71
2019-12,64
2020-01,64
2020-02,71
2020-03,74
2020-04,88
2020-05,78
2020-06,48
2020-07,44
2020-08,65
2020-09,90
2020-10,58
2020-11,47
2020-12,49
