Month,scholarship
2004-01,96
2004-02,90
2004-03,84
2004-04,80
2004-05,71
2004-06,60
2004-07,52
2004-08,58
2004-09,63
2004-10,73
2004-11,64
2004-12,64
2005-01,100
2005-02,95
2005-03,85
2005-04,82
2005-05,64
2005-06,63
2005-07,49
2005-08,59
2005-09,59
2005-10,62
2005-11,62
2005-12,57
2006-01,90
2006-02,80
2006-03,76
2006-04,76
2006-05,60
2006-06,57
2006-07,43
2006-08,46
2006-09,52
2006-10,58
2006-11,58
2006-12,54
2007-01,83
2007-02,78
2007-03,75
2007-04,67
2007-05,59
2007-06,52
2007-07,52
2007-08,46
2007-09,53
2007-10,56
2007-11,55
2007-12,52
2008-01,86
2008-02,81
2008-03,84
2008-04,71
2008-05,58
2008-06,50
2008-07,48
2008-08,48
2008-09,53
2008-10,63
2008-11,59
2008-12,58
2009-01,89
2009-02,91
2009-03,87
2009-04,74
2009-05,66
2009-06,52
2009-07,47
2009-08,49
2009-09,55
2009-10,64
2009-11,62
2009-12,59
2010-01,90
2010-02,86
2010-03,82
2010-04,76
2010-05,59
2010-06,48
2010-07,40
2010-08,45
2010-09,50
2010-10,54
2010-11,53
2010-12,53
2011-01,88
2011-02,84
2011-03,82
2011-04,74
2011-05,61
2011-06,51
2011-07,41
2011-08,46
2011-09,51
2011-10,56
2011-11,58
2011-12,56
2012-01,84
2012-02,80
2012-03,76
2012-04,69
2012-05,59
2012-06,46
2012-07,41
2012-08,45
2012-09,49
2012-10,51
2012-11,50
2012-12,52
2013-01,77
2013-02,79
2013-03,72
2013-04,71
2013-05,57
2013-06,43
2013-07,41
2013-08,44
2013-09,49
2013-10,56
2013-11,52
2013-12,52
2014-01,83
2014-02,75
2014-03,71
2014-04,68
2014-05,58
2014-06,44
2014-07,43
2014-08,44
2014-09,51
2014-10,59
2014-11,53
2014-12,54
2015-01,78
2015-02,76
2015-03,78
2015-04,72
2015-05,57
2015-06,46
2015-07,40
2015-08,45
2015-09,50
2015-10,51
2015-11,54
2015-12,53
2016-01,71
2016-02,68
2016-03,66
2016-04,64
2016-05,53
2016-06,41
2016-07,34
2016-08,41
2016-09,44
2016-10,47
2016-11,46
2016-12,46
2017-01,66
2017-02,67
2017-03,65
2017-04,62
2017-05,51
2017-06,41
2017-07,37
2017-08,41
2017-09,44
2017-10,50
2017-11,49
2017-12,45
2018-01,64
2018-02,66
2018-03,59
2018-04,61
2018-05,51
2018-06,37
2018-07,34
2018-08,42
2018-09,44
2018-10,48
2018-11,42
2018-12,44
2019-01,58
2019-02,60
2019-03,58
2019-04,54
2019-05,48
2019-06,35
2019-07,33
2019-08,41
2019-09,45
2019-10,48
2019-11,42
2019-12,41
2020-01,58
2020-02,58
2020-03,41
2020-04,38
2020-05,39
2020-06,35
2020-07,33
2020-08,34
2020-09,35
2020-10,34
2020-11,26
2020-12,32
